OpenAir St.Gallen vom 25.06.2026 bis zum 28.06.2026;;;;
#;Name;Untertitel;Preis für 3 Nächte;Preis pro Nacht
80;Tiny House in Rorschacherberg;Ruhiges Tiny House in der Nähe des Waldes;CHF 1’441;CHF 144.10
81;Zimmer in Zihlschlacht-Sitterdorf;Doppelzimmer in EFH nahe REHAKLINIK mit free WLAN;CHF 418;CHF 41.80
82;Zimmer in Rorschach;Ruhe für Musiker! B&B am Bodensee.;CHF 949;CHF 94.90
83;Wohnung in St. Gallen;Stadtwohnung mit Küche & gratis Parkplatz;CHF 2’042;CHF 204.20
84;Wohnung in Rorschacherberg;Helle Wohnung in Rorschacherberg am Bodensee;CHF 730;CHF 73.00
85;Unterkunft in St. Gallen;Altstadtflair in historischem Doppelzimmer;CHF 1’208;CHF 120.80
86;Zimmer in Sankt Gallen;grosse Privat-Zimmer in sonnigem Einfamilienhaus;CHF 555;CHF 55.50
87;Wohnung in St. Gallen;TouchBed | Große 4-Zimmer-Wohnung im Obergeschoss;CHF 4’011;CHF 401.10
88;Unterkunft in St. Gallen;YELLOW INN 7 nähe Uni, Olma, Spital, FHS;CHF 1’976;CHF 197.60
89;Gemeinsames Zimmer in St. Gallen;Ein bett im Keller/ Abstellraum;CHF 427;CHF 42.70
90;Wohnung in Arbon;Schlossapartament;CHF 1’200;CHF 120.00
91;Wohnung in St. Gallen;Geräumige 95 m² Wohnung - Balkon - Bergblick;CHF 1’556;CHF 155.60
92;Wohnung in St. Gallen;Stilvoll&zentral in St.Gallen -WYBA Living;CHF 1’780;CHF 178.00
93;Wohnung in Andwil;Das Rocky Docky-Haus gemütliche Wohnung in Andwil;CHF 889;CHF 88.90
94;Wohnung in Rehetobel;Nanis Höckli im Appenzellerland;CHF 814;CHF 81.40
95;Wohnung in St. Gallen;Umweltfreundl. Rooftop Apart. St. Gallen Zentrum;CHF 2’831;CHF 283.10
96;Zimmer in Arbon;"""Säntis"", ruhige Lage, freundl. Zimmer "", seenah.";CHF 577;CHF 57.70
97;Gemeinsames Zimmer in St. Gallen;St. Gallen ist schön;CHF 506;CHF 50.60
98;Wohnung in St. Gallen;Schöne 2 1/2 Zimmer Dachwohnung;CHF 1’163;CHF 116.30
99;Privatunterkunft in Wald;Heimeliges altes Ferienhäuschen in Wald AR;CHF 1’177;CHF 117.70
100;Unterkunft in St. Gallen;Stilvolles Doppelzimmer/Historisches Altstadtflair;CHF 1’197;CHF 119.70
